county,date,quantile,hosp_census_with_covid,icu,Rt
Alameda,2023-02-09,0.95,,,1.073091303553826
Alameda,2023-02-16,0.5,,,1.0247163182546797
Alameda,2023-02-16,0.04999999999999999,,,NA
Alameda,2023-02-16,0.95,,,1.0853194217194373
Alameda,2023-02-23,0.5,,,1.0107046640234412
Alameda,2023-02-23,0.04999999999999999,,,NA
Alameda,2023-02-23,0.95,,,1.068850058860797
Alameda,2023-03-02,0.5,,,0.9805418551160314
Alameda,2023-03-02,0.04999999999999999,,,NA
Alameda,2023-03-02,0.95,,,1.0321277558942046
Alameda,2023-03-09,0.5,,,0.9537755583404082
Alameda,2023-03-09,0.04999999999999999,,,NA
Alameda,2023-03-09,0.95,,,1.0043547232771175
Alameda,2023-03-16,0.5,,,0.9411965874919168
Alameda,2023-03-16,0.04999999999999999,,,NA
Alameda,2023-03-16,0.95,,,0.9912927045340714
Alameda,2023-03-23,0.5,,,0.934500673648708
Alameda,2023-03-23,0.04999999999999999,,,NA
Alameda,2023-03-23,0.95,,,0.9870835175607467
Alameda,2023-03-30,0.5,,,0.9352317018001044
Alameda,2023-03-30,0.04999999999999999,,,NA
Alameda,2023-03-30,0.95,,,0.986173805279818
Alameda,2023-04-06,0.5,,,0.941565221668904
Alameda,2023-04-06,0.04999999999999999,,,NA
Alameda,2023-04-06,0.95,,,0.9921987713714172
Alameda,2023-04-13,0.5,,,0.9486684835517998
Alameda,2023-04-13,0.04999999999999999,,,NA
Alameda,2023-04-13,0.95,,,0.9982721241462288
Alameda,2023-04-20,0.5,,,0.9584566777605932
Alameda,2023-04-20,0.04999999999999999,,,NA
Alameda,2023-04-20,0.95,,,1.012463421091085
Alameda,2023-04-27,0.5,,,0.970370693559422
Alameda,2023-04-27,0.04999999999999999,,,NA
Alameda,2023-04-27,0.95,,,1.0189957896210862
Alameda,2023-05-04,0.5,,,0.9784201132586704
Alameda,2023-05-04,0.04999999999999999,,,NA
Alameda,2023-05-04,0.95,,,1.041517291652918
Alameda,2023-05-11,0.5,,,0.9820776915820216
Alameda,2023-05-11,0.04999999999999999,,,NA
Alameda,2023-05-11,0.95,,,1.0347251330445946
Alameda,2023-05-18,0.5,,,0.9738839483643744
Alameda,2023-05-18,0.04999999999999999,,,NA
Alameda,2023-05-18,0.95,,,1.024505262930873
Alameda,2023-05-25,0.5,,,0.978039892960755
Alameda,2023-05-25,0.04999999999999999,,,NA
Alameda,2023-05-25,0.95,,,1.028346205347454
